"LISEZ MOI EN PASSANT 
LE CURSEUR SUR MOI",En minutes,En minutes,,,,,,,,,,,,,,,,"-2 froid
-1 frais
0 TA
1 tiède
2 chaud",,,,,,,,,,,,,,"Farines
Pâtes
Riz
Patates ...",,,,,,,,,," -1 surtout en été
0 n'importe quand
1 surtout en hiver"
NOM,Temps prep total,Temps prep actif,Entree,Plat,Dessert,Petit Dejeuner,Grignotage,Boisson,Ne se consomme pas seul,Cuit (%),Liquide (%),Sucré (-1 à 1),Salé (-1 à 1),Acide (-1 à 1),Amer (-1 à 1),Piquant (-1 à 1),Epicé (-1 à 1),Chaud (-2 à 2),Gras (-1 à 1),Couleur vive (-1 à 1),Sent fort (-1 à 1),Crousillant (-1 à 1),Fondant (-1 à 1),Moelleux (-1 à 1),Sec (-1 à 1),Sain (-1 à 1),Lourd (-1 à 1),Viande,Poisson,Légume,Fruit,Féculent,Laitage,Oeuf,Alcoolisé,Avec sauce,Sur le pouce ,Cher (-1 à 1),Connu mondialement (-1 à 1),Bon le lendemain (-1 à 1),Difficile/technique (-1 à 1),Mieux en été ou hiver
Gaufre nutella/nutella,100,40,0,0,1,1,1,0,0,100,15,1,-1,-1,-1,-1,-1,1,1,0,0,1,-1,0,0,-1,0,0,0,0,0,1,1,1,0,1,1,-1,1,-1,-1,0
Pesto,15,15,0,0,0,0,0,0,1,0,95,-1,1,0,-1,0,0,1,1,1,1,-1,0,-1,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
Mayonnaise,15,15,0,0,0,0,0,0,1,0,75,-1,1,0,-1,-1,-1,0,1,0,0,-1,0,-1,-1,-1,1,0,0,0,0,0,0,1,0,0,0,-1,1,1,0,0
Sauce hollandaise,20,20,0,0,0,0,0,0,1,100,100,-1,1,1,-1,-1,-1,1,1,0,1,-1,0,-1,-1,-1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
Truffade,60,30,0,1,0,0,0,0,0,100,10,-1,1,-1,-1,-1,-1,2,1,0,1,-1,1,-1,-1,-1,1,0,0,1,0,1,1,0,0,0,0,0,-1,0,0,1
Tartare de boeuf,20,20,1,1,0,0,0,0,0,0,5,0,1,1,-1,0,0,0,-1,1,-1,-1,1,-1,-1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,-1,0,0
Mapo Tofu,45,30,0,1,0,0,0,0,0,100,30,-1,1,-1,-1,1,1,2,1,1,0,-1,0,0,-1,-1,0,1,0,1,0,1,0,0,0,1,0,-1,-1,0,0,0
Pickles,1440,10,0,0,0,0,0,0,1,0,40,0,0,1,0,-1,0,0,-1,1,1,1,0,-1,-1,1,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,-1,0
Jambon Beurre,5,5,0,1,0,0,1,0,0,80,0,-1,1,-1,-1,-1,-1,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,-1,0,-1,-1,-1
Aligot,60,35,0,1,0,0,0,0,0,100,80,-1,1,-1,-1,-1,0,2,1,-1,0,-1,1,-1,-1,-1,1,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,1
PBJ Sandwich,5,5,0,1,1,1,1,0,0,80,20,1,0,0,-1,-1,-1,0,0,0,-1,-1,1,1,-1,-1,0,0,0,0,1,1,0,0,0,0,1,-1,1,0,-1,0
Couscous viande,200,120,0,1,0,0,0,0,0,100,40,-1,1,-1,-1,0,1,2,0,0,0,-1,1,0,-1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
Couscous poisson,150,110,0,1,0,0,0,0,0,100,40,-1,1,-1,-1,0,1,2,0,0,0,-1,1,0,-1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0
Couscous végétarien,140,100,0,1,0,0,0,0,0,100,40,-1,1,-1,-1,0,1,2,0,0,0,-1,1,0,-1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
Cheeseburger (Macdo),20,20,0,1,0,0,0,0,0,100,10,0,1,0,-1,-1,-1,2,0,0,0,-1,0,0,-1,-1,1,1,0,0,0,1,1,1,0,0,1,-1,1,-1,-1,0
Smashed cheeseburger,25,25,0,1,0,0,0,0,0,100,10,0,1,0,-1,-1,-1,2,0,0,0,0,0,0,-1,-1,1,1,0,0,0,1,1,1,0,0,1,-1,0,-1,0,0
Lait de poule,20,20,0,0,0,0,0,1,0,15,100,1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,-1,1
Lait de poule agé,20000,20,0,0,0,0,0,1,0,15,100,1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,-1,1
Oeuf mollet,15,5,1,1,0,1,0,0,1,70,30,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,0,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,-1,0
Oeuf dur,20,5,1,1,0,1,0,0,1,100,0,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,-1,0
Oeuf poché,15,10,1,1,0,1,0,0,1,60,40,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0
Oeuf au plat,10,10,1,1,0,1,0,0,1,70,30,-1,1,-1,-1,-1,-1,2,0,0,-1,0,0,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,-1,0,0
Oeuf parfait,45,10,1,1,0,1,0,0,1,60,50,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,1,0
Stjerneskud,25,25,0,1,0,0,0,0,0,50,10,-1,1,0,-1,-1,-1,1,0,0,0,1,-1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,-1,1,-1,0
Risotto,45,45,0,1,0,0,0,0,0,90,25,-1,1,0,-1,-1,-1,2,0,-1,0,-1,1,0,-1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,-1,0,0
Harang matjes,10000,20,1,0,0,0,0,0,1,0,33,0,1,1,0,-1,0,0,-1,-1,0,-1,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,0
Pâte à pizza,280,30,0,0,0,0,0,0,1,0,90,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,1,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0
